Rainfall(mm),Humidity(%),Temperature(C),Flood Occurred
5,44,37,0
5,44,40,0
5,44,43,0
5,45,15,0
5,48,16,0
5,48,19,0
5,48,22,0
5,48,25,0
5,48,28,0
5,48,31,0
5,48,34,0
5,48,37,0
5,48,40,0
5,48,43,0
5,49,15,0
5,52,16,0
5,52,19,0
5,52,22,0
5,52,25,0
5,52,28,0
5,52,31,0
5,52,34,0
5,52,37,0
5,52,40,0
5,52,43,0
5,53,15,0
5,56,16,0
5,56,19,0
5,56,22,0
5,56,25,0
5,56,28,0
5,56,31,0
5,56,34,0
5,56,37,0
5,56,40,0
5,56,43,0
5,57,15,0
5,60,16,0
5,60,19,0
5,60,22,0
5,60,25,0
5,60,28,0
5,60,31,0
5,60,34,0
5,60,37,0
5,60,40,0
5,60,43,0
5,61,15,0
5,64,16,0
5,64,19,0
5,64,22,0
5,64,25,0
5,64,28,0
5,64,31,0
5,64,34,0
5,64,37,0
5,64,40,0
5,64,43,0
5,65,15,0
5,68,16,0
5,68,19,0
5,68,22,0
5,68,25,0
5,68,28,0
5,68,31,0
5,68,34,0
5,68,37,0
5,68,40,0
5,68,43,0
5,69,15,0
5,72,16,0
5,72,19,0
5,72,22,0
5,72,25,0
5,72,28,0
5,72,31,0
5,72,34,0
5,72,37,0
5,72,40,0
5,72,43,0
5,73,15,0
5,76,16,0
5,76,19,0
5,76,22,0
5,76,25,0
5,76,28,0
5,76,31,0
5,76,34,0
5,76,37,0
5,76,40,0
5,76,43,0
5,77,15,0
5,80,16,0
5,80,19,0
5,80,22,0
5,80,25,0
5,80,28,0
5,80,31,0
5,80,34,0
5,80,37,0
5,80,40,0
5,80,43,0
5,81,15,0
5,84,16,0
5,84,19,0
5,84,22,0
5,84,25,0
5,84,28,0
5,84,31,0
5,84,34,0
5,84,37,0
5,84,40,0
5,84,43,0
5,85,15,0
5,88,16,0
5,88,19,0
5,88,22,0
5,88,25,0
5,88,28,0
5,88,31,0
5,88,34,0
5,88,37,0
5,88,40,0
5,88,43,0
5,89,15,0
5,92,16,0
5,92,19,0
5,92,22,0
5,92,25,0
5,92,28,0
5,92,31,0
5,92,34,0
5,92,37,0
5,92,40,0
5,92,43,0
5,93,15,0
5,96,16,0
5,96,19,0
5,96,22,0
5,96,25,0
5,96,28,0
5,96,31,0
5,96,34,0
5,96,37,0
5,96,40,0
5,96,43,0
5,97,15,0
5,100,16,0
5,100,19,0
5,100,22,0
5,100,25,0
5,100,28,0
5,100,31,0
5,100,34,0
5,100,37,0
5,100,40,0
5,100,43,0
6,30,15,0
10,32,16,0
10,32,19,0
10,32,22,0
10,32,25,0
10,32,28,0
10,32,31,0
10,32,34,0
10,32,37,0
10,32,40,0
10,32,43,0
10,33,15,0
10,36,16,0
10,36,19,0
10,36,22,0
10,36,25,0
10,36,28,0
10,36,31,0
10,36,34,0
10,36,37,0
10,36,40,0
10,36,43,0
10,37,15,0
10,40,16,0
10,40,19,0
10,40,22,0
10,40,25,0
10,40,28,0
10,40,31,0
10,40,34,0
10,40,37,0
10,40,40,0
10,40,43,0
10,41,15,0
10,44,16,0
10,44,19,0
10,44,22,0
10,44,25,0
10,44,28,0
10,44,31,0
10,44,34,0
10,44,37,0
10,44,40,0
10,44,43,0
10,45,15,0
10,48,16,0
10,48,19,0
10,48,22,0
10,48,25,0
10,48,28,0
10,48,31,0
10,48,34,0
10,48,37,0
10,48,40,0
10,48,43,0
10,49,15,0
10,52,16,0
10,52,19,0
10,52,22,0
10,52,25,0
10,52,28,0
10,52,31,0
10,52,34,0
10,52,37,0
10,52,40,0
10,52,43,0
10,53,15,0
10,56,16,0
10,56,19,0
10,56,22,0
10,56,25,0
10,56,28,0
10,56,31,0
10,56,34,0
10,56,37,0
10,56,40,0
10,56,43,0
10,57,15,0
10,60,16,0
10,60,19,0
10,60,22,0
10,60,25,0
10,60,28,0
10,60,31,0
10,60,34,0
10,60,37,0
10,60,40,0
10,60,43,0
10,61,15,0
10,64,16,0
10,64,19,0
10,64,22,0
10,64,25,0
10,64,28,0
10,64,31,0
10,64,34,0
10,64,37,0
10,64,40,0
10,64,43,0
10,65,15,0
10,68,16,0
10,68,19,0
10,68,22,0
10,68,25,0
10,68,28,0
10,68,31,0
10,68,34,0
10,68,37,0
10,68,40,0
10,68,43,0
10,69,15,0
10,72,16,0
10,72,19,0
10,72,22,0
10,72,25,0
10,72,28,0
10,72,31,0
10,72,34,0
10,72,37,0
10,72,40,0
10,72,43,0
10,73,15,0
10,76,16,0
10,76,19,0
10,76,22,0
10,76,25,0
10,76,28,0
10,76,31,0
10,76,34,0
10,76,37,0
10,76,40,0
10,76,43,0
10,77,15,0
10,80,16,0
10,80,19,0
10,80,22,0
10,80,25,0
10,80,28,0
10,80,31,0
10,80,34,0
10,80,37,0
10,80,40,0
10,80,43,0
10,81,15,0
10,84,16,0
10,84,19,0
10,84,22,0
10,84,25,0
10,84,28,0
10,84,31,0
10,84,34,0
10,84,37,0
10,84,40,0
10,84,43,0
10,85,15,0
10,88,16,0
10,88,19,0
10,88,22,0
10,88,25,0
10,88,28,0
10,88,31,0
10,88,34,0
10,88,37,0
10,88,40,0
10,88,43,0
10,89,15,0
10,92,16,0
10,92,19,0
10,92,22,0
10,92,25,0
10,92,28,0
10,92,31,0
10,92,34,0
10,92,37,0
10,92,40,0
10,92,43,0
10,93,15,0
10,96,16,0
10,96,19,0
10,96,22,0
10,96,25,0
10,96,28,0
10,96,31,0
10,96,34,0
10,96,37,0
10,96,40,0
10,96,43,0
10,97,15,0
10,100,16,0
10,100,19,0
10,100,22,0
10,100,25,0
10,100,28,0
10,100,31,0
10,100,34,0
10,100,37,0
10,100,40,0
10,100,43,0
11,30,15,0
15,32,16,0
15,32,19,0
15,32,22,0
15,32,25,0
15,32,28,0
15,32,31,0
15,32,34,0
15,32,37,0
15,32,40,0
15,32,43,0
15,33,15,0
15,36,16,0
15,36,19,0
15,36,22,0
15,36,25,0
15,36,28,0
15,36,31,0
15,36,34,0
15,36,37,0
15,36,40,0
15,36,43,0
15,37,15,0
15,40,16,0
15,40,19,0
15,40,22,0
15,40,25,0
15,40,28,0
15,40,31,0
15,40,34,0
15,40,37,0
15,40,40,0
15,40,43,0
15,41,15,0
15,44,16,0
15,44,19,0
15,44,22,0
15,44,25,0
15,44,28,0
15,44,31,0
15,44,34,0
15,44,37,0
15,44,40,0
15,44,43,0
15,45,15,0
15,48,16,0
15,48,19,0
15,48,22,0
15,48,25,0
15,48,28,0
15,48,31,0
15,48,34,0
15,48,37,0
15,48,40,0
15,48,43,0
15,49,15,0
15,52,16,0
15,52,19,0
15,52,22,0
15,52,25,0
15,52,28,0
15,52,31,0
15,52,34,0
15,52,37,0
15,52,40,0
15,52,43,0
15,53,15,0
15,56,16,0
15,56,19,0
15,56,22,0
15,56,25,0
15,56,28,0
15,56,31,0
15,56,34,0
15,56,37,0
15,56,40,0
15,56,43,0
15,57,15,0
15,60,16,0
15,60,19,0
15,60,22,0
15,60,25,0
15,60,28,0
15,60,31,0
15,60,34,0
15,60,37,0
15,60,40,0
15,60,43,0
15,61,15,0
15,64,16,0
15,64,19,0
15,64,22,0
15,64,25,0
15,64,28,0
15,64,31,0
15,64,34,0
15,64,37,0
15,64,40,0
15,64,43,0
15,65,15,0
15,68,16,0
15,68,19,0
15,68,22,0
15,68,25,0
15,68,28,0
15,68,31,0
15,68,34,0
15,68,37,0
15,68,40,0
15,68,43,0
15,69,15,0
15,72,16,0
15,72,19,0
15,72,22,0
15,72,25,0
15,72,28,0
15,72,31,0
15,72,34,0
15,72,37,0
15,72,40,0
15,72,43,0
15,73,15,0
15,76,16,0
15,76,19,0
15,76,22,0
15,76,25,0
15,76,28,0
15,76,31,0
15,76,34,0
15,76,37,0
15,76,40,0
15,76,43,0
15,77,15,0
15,80,16,0
15,80,19,0
15,80,22,0
15,80,25,0
15,80,28,0
15,80,31,0
15,80,34,0
15,80,37,0
15,80,40,0
15,80,43,0
15,81,15,0
15,84,16,0
15,84,19,0
15,84,22,0
15,84,25,0
15,84,28,0
15,84,31,0
15,84,34,0
15,84,37,0
15,84,40,0
15,84,43,0
15,85,15,0
15,88,16,0
15,88,19,0
15,88,22,0
15,88,25,0
15,88,28,0
15,88,31,0
15,88,34,0
15,88,37,0
15,88,40,0
15,88,43,0
15,89,15,0
15,92,16,0
15,92,19,0
15,92,22,0
15,92,25,0
15,92,28,0
15,92,31,0
15,92,34,0
15,92,37,0
15,92,40,0
15,92,43,0
15,93,15,0
15,96,16,0
15,96,19,0
15,96,22,0
15,96,25,0
15,96,28,0
15,96,31,0
15,96,34,0
15,96,37,0
15,96,40,0
15,96,43,0
15,97,15,0
15,100,16,0
15,100,19,0
15,100,22,0
15,100,25,0
15,100,28,0
15,100,31,0
15,100,34,0
15,100,37,0
15,100,40,0
15,100,43,0
16,30,15,0
20,32,16,0
20,32,19,0
20,32,22,0
20,32,25,0
20,32,28,0
20,32,31,0
20,32,34,0
20,32,37,0
20,32,40,0
20,32,43,0
20,33,15,0
20,36,16,0
20,36,19,0
20,36,22,0
20,36,25,0
20,36,28,0
20,36,31,0
20,36,34,0
20,36,37,0
20,36,40,0
20,36,43,0
20,37,15,0
20,40,16,0
20,40,19,0
20,40,22,0
20,40,25,0
20,40,28,0
20,40,31,0
20,40,34,0
20,40,37,0
20,40,40,0
20,40,43,0
20,41,15,0
20,44,16,0
20,44,19,0
20,44,22,0
20,44,25,0
20,44,28,0
20,44,31,0
20,44,34,0
20,44,37,0
20,44,40,0
20,44,43,0
20,45,15,0
20,48,16,0
20,48,19,0
20,48,22,0
20,48,25,0
20,48,28,0
20,48,31,0
20,48,34,0
20,48,37,0
20,48,40,0
20,48,43,0
20,49,15,0
20,52,16,0
20,52,19,0
20,52,22,0
20,52,25,0
20,52,28,0
20,52,31,0
20,52,34,0
20,52,37,0
20,52,40,0
20,52,43,0
20,53,15,0
20,56,16,0
20,56,19,0
20,56,22,0
20,56,25,0
20,56,28,0
20,56,31,0
20,56,34,0
20,56,37,0
20,56,40,0
20,56,43,0
20,57,15,0
20,60,16,0
20,60,19,0
20,60,22,0
20,60,25,0
20,60,28,0
20,60,31,0
20,60,34,0
20,60,37,0
20,60,40,0
20,60,43,0
20,61,15,0
20,64,16,0
20,64,19,0
20,64,22,0
20,64,25,0
20,64,28,0
20,64,31,0
20,64,34,0
20,64,37,0
20,64,40,0
20,64,43,0
20,65,15,0
20,68,16,0
20,68,19,0
20,68,22,0
20,68,25,0
20,68,28,0
20,68,31,0
20,68,34,0
20,68,37,0
20,68,40,0
20,68,43,0
20,69,15,0
20,72,16,0
20,72,19,0
20,72,22,0
20,72,25,0
20,72,28,0
20,72,31,0
20,72,34,0
20,72,37,0
20,72,40,0
20,72,43,0
20,73,15,0
20,76,16,0
20,76,19,0
20,76,22,0
20,76,25,0
20,76,28,0
20,76,31,0
20,76,34,0
20,76,37,0
20,76,40,0
20,76,43,0
20,77,15,0
20,80,16,0
20,80,19,0
20,80,22,0
20,80,25,0
20,80,28,0
20,80,31,0
20,80,34,0
20,80,37,0
20,80,40,0
20,80,43,0
20,81,15,0
20,84,16,0
20,84,19,0
20,84,22,0
20,84,25,0
20,84,28,0
20,84,31,0
20,84,34,0
20,84,37,0
20,84,40,0
20,84,43,0
20,85,15,0
20,88,16,0
20,88,19,0
20,88,22,0
20,88,25,0
20,88,28,0
20,88,31,0
20,88,34,0
20,88,37,0
20,88,40,0
20,88,43,0
20,89,15,0
20,92,16,0
20,92,19,0
20,92,22,0
20,92,25,0
20,92,28,0
20,92,31,0
20,92,34,0
20,92,37,0
20,92,40,0
20,92,43,0
20,93,15,0
20,96,16,0
20,96,19,0
20,96,22,0
20,96,25,0
20,96,28,0
20,96,31,0
20,96,34,0
20,96,37,0
20,96,40,0
20,96,43,0
20,97,15,0
20,100,16,0
20,100,19,0
20,100,22,0
20,100,25,0
20,100,28,0
20,100,31,0
20,100,34,0
20,100,37,0
20,100,40,0
20,100,43,0
21,30,15,0
25,32,16,0
25,32,19,0
25,32,22,0
25,32,25,0
25,32,28,0
25,32,31,0
25,32,34,0
25,32,37,0
25,32,40,0
25,32,43,0
25,33,15,0
25,36,16,0
25,36,19,0
25,36,22,0
25,36,25,0
25,36,28,0
25,36,31,0
25,36,34,0
25,36,37,0
25,36,40,0
25,36,43,0
25,37,15,0
25,40,16,0
25,40,19,0
25,40,22,0
25,40,25,0
25,40,28,0
25,40,31,0
25,40,34,0
25,40,37,0
25,40,40,0
25,40,43,0
25,41,15,0
25,44,16,0
25,44,19,0
25,44,22,0
25,44,25,0
25,44,28,0
25,44,31,0
25,44,34,0
25,44,37,0
25,44,40,0
25,44,43,0
25,45,15,0
25,48,16,0
25,48,19,0
25,48,22,0
25,48,25,0
25,48,28,0
25,48,31,0
25,48,34,0
25,48,37,0
25,48,40,0
25,48,43,0
25,49,15,0
25,52,16,0
25,52,19,0
25,52,22,0
25,52,25,0
25,52,28,0
25,52,31,0
25,52,34,0
25,52,37,0
25,52,40,0
25,52,43,0
25,53,15,0
25,56,16,0
25,56,19,0
25,56,22,0
25,56,25,0
25,56,28,0
25,56,31,0
25,56,34,0
25,56,37,0
25,56,40,0
25,56,43,0
25,57,15,0
25,60,16,0
25,60,19,0
25,60,22,0
25,60,25,0
25,60,28,0
25,60,31,0
25,60,34,0
25,60,37,0
25,60,40,0
25,60,43,0
25,61,15,0
25,64,16,0
25,64,19,0
25,64,22,0
25,64,25,0
25,64,28,0
25,64,31,0
25,64,34,0
25,64,37,0
25,64,40,0
25,64,43,0
25,65,15,0
25,68,16,0
25,68,19,0
25,68,22,0
25,68,25,0
25,68,28,0
25,68,31,0
25,68,34,0
25,68,37,0
25,68,40,0
25,68,43,0
25,69,15,0
25,72,16,0
25,72,19,0
25,72,22,0
25,72,25,0
25,72,28,0
25,72,31,0
25,72,34,0
25,72,37,0
25,72,40,0
25,72,43,0
25,73,15,0
25,76,16,0
25,76,19,0
25,76,22,0
25,76,25,0
25,76,28,0
25,76,31,0
25,76,34,0
25,76,37,0
25,76,40,0
25,76,43,0
25,77,15,0
25,80,16,0
25,80,19,0
25,80,22,0
25,80,25,0
25,80,28,0
25,80,31,0
25,80,34,0
25,80,37,0
25,80,40,0
25,80,43,0
25,81,15,0
25,84,16,0
25,84,19,0
25,84,22,0
25,84,25,0
25,84,28,0
25,84,31,0
25,84,34,0
25,84,37,0
25,84,40,0
25,84,43,0
25,85,15,0
25,88,16,0
25,88,19,0
25,88,22,0
25,88,25,0
25,88,28,0
25,88,31,0
25,88,34,0
25,88,37,0
25,88,40,0
25,88,43,0
25,89,15,0
25,92,16,0
25,92,19,0
25,92,22,0
25,92,25,0
25,92,28,0
25,92,31,0
25,92,34,0
25,92,37,0
25,92,40,0
25,92,43,0
25,93,15,0
25,96,16,0
25,96,19,0
25,96,22,0
25,96,25,0
25,96,28,0
25,96,31,0
25,96,34,0
25,96,37,0
25,96,40,0
25,96,43,0
25,97,15,0
25,100,16,0
25,100,19,0
25,100,22,0
25,100,25,0
25,100,28,0
25,100,31,0
25,100,34,0
25,100,37,0
25,100,40,0
25,100,43,0
26,30,15,0
30,32,16,0
30,32,19,0
30,32,22,0
30,32,25,0
30,32,28,0
30,32,31,0
30,32,34,0
30,32,37,0
30,32,40,0
30,32,43,0
30,33,15,0
30,36,16,0
30,36,19,0
30,36,22,0
30,36,25,0
30,36,28,0
30,36,31,0
30,36,34,0
30,36,37,0
30,36,40,0
30,36,43,0
30,37,15,0
30,40,16,0
30,40,19,0
30,40,22,0
30,40,25,0
30,40,28,0
30,40,31,0
30,40,34,0
30,40,37,0
30,40,40,0
30,40,43,0
30,41,15,0
30,44,16,0
30,44,19,0
30,44,22,0
30,44,25,0
30,44,28,0
30,44,31,0
30,44,34,0
30,44,37,0
30,44,40,0
30,44,43,0
30,45,15,0
30,48,16,0
30,48,19,0
30,48,22,0
30,48,25,0
30,48,28,0
30,48,31,0
30,48,34,0
30,48,37,0
30,48,40,0
30,48,43,0
30,49,15,0
30,52,16,0
30,52,19,0
30,52,22,0
30,52,25,0
30,52,28,0
30,52,31,0
30,52,34,0
30,52,37,0
30,52,40,0
30,52,43,0
30,53,15,0
30,56,16,0
30,56,19,0
30,56,22,0
30,56,25,0
30,56,28,0
30,56,31,0
30,56,34,0
30,56,37,0
30,56,40,0
30,56,43,0
30,57,15,0
30,60,16,0
30,60,19,0
30,60,22,0
30,60,25,0
30,60,28,0
30,60,31,0
30,60,34,0
30,60,37,0
30,60,40,0
30,60,43,0
30,61,15,0
30,64,16,0
30,64,19,0
30,64,22,0
30,64,25,0
30,64,28,0
30,64,31,0
30,64,34,0
30,64,37,0
30,64,40,0
30,64,43,0
30,65,15,0
30,68,16,0
30,68,19,0
30,68,22,0
30,68,25,0
30,68,28,0
30,68,31,0
30,68,34,0
30,68,37,0
30,68,40,0
30,68,43,0
30,69,15,0
30,72,16,0
30,72,19,0
30,72,22,0
30,72,25,0
30,72,28,0
30,72,31,0
30,72,34,0
30,72,37,0
30,72,40,0
30,72,43,0
30,73,15,0
30,76,16,0
30,76,19,0
30,76,22,0
30,76,25,0
30,76,28,0
30,76,31,0
30,76,34,0
30,76,37,0
30,76,40,0
30,76,43,0
30,77,15,0
30,80,16,0
30,80,19,0
30,80,22,0
30,80,25,0
30,80,28,0
30,80,31,0
30,80,34,0
30,80,37,0
30,80,40,0
30,80,43,0
30,81,15,0
30,84,16,0
30,84,19,0
30,84,22,0
30,84,25,0
30,84,28,0
30,84,31,0
30,84,34,0
30,84,37,0
30,84,40,0
30,84,43,0
30,85,15,0
30,88,16,0
30,88,19,0
30,88,22,0
30,88,25,0
30,88,28,0
30,88,31,0
30,88,34,0
30,88,37,0
30,88,40,0
30,88,43,0
30,89,15,0
30,92,16,0
30,92,19,0
30,92,22,0
30,92,25,0
30,92,28,0
30,92,31,0
30,92,34,0
30,92,37,0
30,92,40,0
30,92,43,0
30,93,15,0
30,96,16,0
30,96,19,0
30,96,22,0
30,96,25,0
30,96,28,0
30,96,31,0
30,96,34,0
30,96,37,0
30,96,40,0
30,96,43,0
30,97,15,0
30,100,16,0
30,100,19,0
30,100,22,0
30,100,25,0
30,100,28,0
30,100,31,0
30,100,34,0
30,100,37,0
30,100,40,0
30,100,43,0
31,30,15,0
35,32,16,0
35,32,19,0
35,32,22,0
35,32,25,0
35,32,28,0
35,32,31,0
35,32,34,0
35,32,37,0
35,32,40,0
35,32,43,0
35,33,15,0
35,36,16,0
35,36,19,0
35,36,22,0
35,36,25,0
35,36,28,0
35,36,31,0
35,36,34,0
35,36,37,0
35,36,40,0
35,36,43,0
35,37,15,0
35,40,16,0
35,40,19,0
35,40,22,0
35,40,25,0
35,40,28,0
35,40,31,0
35,40,34,0
35,40,37,0
35,40,40,0
35,40,43,0
35,41,15,0
35,44,16,0
35,44,19,0
35,44,22,0
35,44,25,0
35,44,28,0
35,44,31,0
35,44,34,0
35,44,37,0
35,44,40,0
35,44,43,0
35,45,15,0
35,48,16,0
35,48,19,0
35,48,22,0
35,48,25,0
35,48,28,0
35,48,31,0
35,48,34,0
35,48,37,0
35,48,40,0
35,48,43,0
35,49,15,0
35,52,16,0
35,52,19,0
35,52,22,0
35,52,25,0
35,52,28,0
35,52,31,0
35,52,34,0
35,52,37,0
35,52,40,0
35,52,43,0
35,53,15,0
35,56,16,0
35,56,19,0
35,56,22,0
35,56,25,0
35,56,28,0
35,56,31,0
35,56,34,0
35,56,37,0
35,56,40,0
35,56,43,0
35,57,15,0
35,60,16,0
35,60,19,0
35,60,22,0
35,60,25,0
35,60,28,0
35,60,31,0
35,60,34,0
35,60,37,0
35,60,40,0
35,60,43,0
35,61,15,0
35,64,16,0
35,64,19,0
35,64,22,0
35,64,25,0
35,64,28,0
35,64,31,0
35,64,34,0
35,64,37,0
35,64,40,0
35,64,43,0
35,65,15,0
35,68,16,0
35,68,19,0
35,68,22,0
35,68,25,0
35,68,28,0
35,68,31,0
35,68,34,0
35,68,37,0
35,68,40,0
35,68,43,0
35,69,15,0
35,72,16,0
35,72,19,0
35,72,22,0
35,72,25,0
35,72,28,0
35,72,31,0
35,72,34,0
35,72,37,0
35,72,40,0
35,72,43,0
35,73,15,0
35,76,16,0
35,76,19,0
35,76,22,0
35,76,25,0
35,76,28,0
35,76,31,0
35,76,34,0
35,76,37,0
35,76,40,0
35,76,43,0
35,77,15,0
35,80,16,0
35,80,19,0
35,80,22,0
35,80,25,0
35,80,28,0
35,80,31,0
35,80,34,0
35,80,37,0
35,80,40,0
35,80,43,0
35,81,15,0
35,84,16,0
35,84,19,0
35,84,22,0
35,84,25,0
35,84,28,0
35,84,31,0
35,84,34,0
35,84,37,0
35,84,40,0
35,84,43,0
35,85,15,0
35,88,16,0
35,88,19,0
35,88,22,0
35,88,25,0
35,88,28,0
35,88,31,0
35,88,34,0
35,88,37,0
35,88,40,0
35,88,43,0
35,89,15,0
35,92,16,0
35,92,19,0
35,92,22,0
35,92,25,0
35,92,28,0
35,92,31,0
35,92,34,0
35,92,37,0
35,92,40,0
35,92,43,0
35,93,15,0
35,96,16,0
35,96,19,0
35,96,22,0
35,96,25,0
35,96,28,0
35,96,31,0
35,96,34,0
35,96,37,0
35,96,40,0
35,96,43,0
35,97,15,0
35,100,16,0
35,100,19,0
35,100,22,0
35,100,25,0
35,100,28,0
35,100,31,0
35,100,34,0
35,100,37,0
35,100,40,0
35,100,43,0
36,30,15,0
40,32,16,0
40,32,19,0
40,32,22,0
40,32,25,0
40,32,28,0
40,32,31,0
40,32,34,0
40,32,37,0
40,32,40,0
40,32,43,0
40,33,15,0
40,36,16,0
40,36,19,0
40,36,22,0
40,36,25,0
40,36,28,0
40,36,31,0
40,36,34,0
40,36,37,0
40,36,40,0
40,36,43,0
40,37,15,0
40,40,16,0
40,40,19,0
40,40,22,0
40,40,25,0
40,40,28,0
40,40,31,0
40,40,34,0
40,40,37,0
40,40,40,0
40,40,43,0
40,41,15,0
40,44,16,0
40,44,19,0
40,44,22,0
40,44,25,0
40,44,28,0
40,44,31,0
40,44,34,0
40,44,37,0
40,44,40,0
40,44,43,0
40,45,15,0
40,48,16,0
40,48,19,0
40,48,22,0
40,48,25,0
40,48,28,0
40,48,31,0
40,48,34,0
40,48,37,0
40,48,40,0
40,48,43,0
40,49,15,0
40,52,16,0
40,52,19,0
40,52,22,0
40,52,25,0
40,52,28,0
40,52,31,0
40,52,34,0
40,52,37,0
40,52,40,0
40,52,43,0
40,53,15,0
40,56,16,0
40,56,19,0
40,56,22,0
40,56,25,0
40,56,28,0
40,56,31,0
40,56,34,0
40,56,37,0
40,56,40,0
40,56,43,0
40,57,15,0
40,60,16,0
40,60,19,0
40,60,22,0
40,60,25,0
40,60,28,0
40,60,31,0
40,60,34,0
40,60,37,0
40,60,40,0
40,60,43,0
40,61,15,0
40,64,16,0
40,64,19,0
40,64,22,0
40,64,25,0
40,64,28,0
40,64,31,0
40,64,34,0
40,64,37,0
40,64,40,0
40,64,43,0
40,65,15,0
40,68,16,0
40,68,19,0
40,68,22,0
40,68,25,0
40,68,28,0
40,68,31,0
40,68,34,0
40,68,37,0
40,68,40,0
40,68,43,0
40,69,15,0
40,72,16,0
40,72,19,0
40,72,22,0
40,72,25,0
40,72,28,0
40,72,31,0
40,72,34,0
40,72,37,0
40,72,40,0
40,72,43,0
40,73,15,0
40,76,16,0
40,76,19,0
40,76,22,0
40,76,25,0
40,76,28,0
40,76,31,0
40,76,34,0
40,76,37,0
40,76,40,0
40,76,43,0
40,77,15,0
40,80,16,0
40,80,19,0
40,80,22,0
40,80,25,0
40,80,28,0
40,80,31,0
40,80,34,0
40,80,37,0
40,80,40,0
40,80,43,0
40,81,15,0
40,84,16,0
40,84,19,0
40,84,22,0
40,84,25,0
40,84,28,0
40,84,31,0
40,84,34,0
40,84,37,0
40,84,40,0
40,84,43,0
40,85,15,0
40,88,16,0
40,88,19,0
40,88,22,0
40,88,25,0
